game_id,date,season,week,home_team,away_team,home_score,away_score,neutral_site,home_rating_pre,away_rating_pre,home_rating_post,away_rating_post,rating_diff,expected_home_win_prob,actual_home_result,margin
2023_03_HOU_JAX,2023-09-24,2023,3,JAX,HOU,17.0,37.0,False,1500.9787458324413,1484.5863838712835,1488.6285603091198,1496.936569394605,71.3923619611578,0.6013198375448159,0.0,-20.0
2023_03_CHI_KC,2023-09-24,2023,3,KC,CHI,41.0,10.0,False,1504.949364301289,1483.7409612203062,1515.8528383649366,1472.8374871566587,76.20840308098286,0.6079470381014617,1.0,31.0
2023_03_PIT_LV,2023-09-24,2023,3,LV,PIT,18.0,23.0,False,1490.1437964082613,1489.8404822821353,1485.5827268954004,1494.4015517949963,55.303314126126,0.5789224395094661,0.0,-5.0
2023_03_DEN_MIA,2023-09-24,2023,3,MIA,DEN,70.0,20.0,False,1508.1026235380664,1496.1392377985067,1523.9454569959507,1480.2964043406223,66.96338573955973,0.5951922584080114,1.0,50.0
2023_03_LAC_MIN,2023-09-24,2023,3,MIN,LAC,24.0,28.0,False,1493.1566705972402,1495.2891163799568,1489.2709968790052,1499.1747900981918,52.86755421728344,0.5755007043646154,0.0,-4.0
2023_03_NE_NYJ,2023-09-24,2023,3,NYJ,NE,10.0,15.0,False,1495.5639800734186,1489.73903755619,1490.96149241769,1494.3415252119187,60.82494251722869,0.5866506830106678,0.0,-5.0
2023_03_CAR_SEA,2023-09-24,2023,3,SEA,CAR,37.0,27.0,False,1494.5454890186672,1490.025019364538,1499.8420488491288,1484.7284595340764,59.52046965412933,0.5848285998903532,1.0,10.0
2023_03_BUF_WAS,2023-09-24,2023,3,WAS,BUF,3.0,37.0,False,1505.2243815809325,1507.5600787805624,1487.8499117358515,1524.9345486256434,52.664302800370024,0.5752148463132458,0.0,-34.0
2023_03_LA_CIN,2023-09-25,2023,3,CIN,LA,19.0,16.0,False,1487.8311169557946,1504.9918369788159,1490.3205603710132,1502.5023935635973,37.83927997697879,0.554240812738966,1.0,3.0
2023_03_PHI_TB,2023-09-25,2023,3,TB,PHI,11.0,25.0,False,1508.2719824567555,1508.2138421926754,1498.898505946633,1517.587318702798,55.058140264080066,0.5785783585407916,0.0,-14.0
2023_04_DET_GB,2023-09-28,2023,4,GB,DET,20.0,34.0,False,1511.1303981904894,1503.3566071764158,1501.6382323225187,1512.8487730443865,62.773791014073595,0.5893683989585337,0.0,-14.0
2023_04_MIA_BUF,2023-10-01,2023,4,BUF,MIA,48.0,20.0,False,1524.9345486256434,1523.9454569959507,1535.9834363701964,1512.8965692513978,55.989091629692666,0.5798844627470878,1.0,28.0
2023_04_MIN_CAR,2023-10-01,2023,4,CAR,MIN,13.0,21.0,False,1484.7284595340764,1489.2709968790052,1478.4417481721741,1495.5577082409075,50.45746265507114,0.5721078888348102,0.0,-8.0
2023_04_DEN_CHI,2023-10-01,2023,4,CHI,DEN,28.0,31.0,False,1472.8374871566587,1480.2964043406223,1469.6891175667186,1483.4447739305624,47.54108281603635,0.5679932867493207,0.0,-3.0
2023_04_BAL_CLE,2023-10-01,2023,4,CLE,BAL,3.0,28.0,False,1515.7298093985444,1507.3558270115705,1501.4720689257551,1521.6135674843597,63.37398238697392,0.590204290929642,0.0,-25.0
2023_04_NE_DAL,2023-10-01,2023,4,DAL,NE,38.0,3.0,False,1520.7412366311453,1494.3415252119187,1532.351082032372,1482.731679810692,81.3997114192266,0.6150462817714982,1.0,35.0
2023_04_PIT_HOU,2023-10-01,2023,4,HOU,PIT,30.0,6.0,False,1496.936569394605,1494.4015517949963,1506.7924786379824,1484.5456425516188,57.535017599608636,0.5820508850264562,1.0,24.0
2023_04_LA_IND,2023-10-01,2023,4,IND,LA,23.0,29.0,False,1503.7505990915472,1502.5023935635973,1498.560538679945,1507.6924539751994,56.24820552794995,0.5802477957064136,0.0,-6.0
2023_04_ATL_JAX,2023-10-01,2023,4,JAX,ATL,23.0,7.0,False,1488.6285603091198,1500.7634598592874,1496.5044782370874,1492.88754193132,42.865100449832426,0.5613767373607667,1.0,16.0
2023_04_LV_LAC,2023-10-01,2023,4,LAC,LV,24.0,17.0,False,1499.1747900981918,1485.5827268954004,1503.1481480250195,1481.6093689685727,68.59206320279145,0.5974491269771323,1.0,7.0
